Tool Name,Country of Origin,Preparation of the detailed data sheet,Responsible Institution,Purpose of the Tool,Moment of Productive Activity,Taxonomy of tools (main),Information Access Channels,Typology of Communication Channels,Main Target Audience,Scope of Application,Access Model,Interaction Dimension,Institutional Nature,Organization Category,Language of Availability,WhatsApp integration,Required Connectivity,Level of Digitization,Tool Opening Level,Link,Description (summary)
My Rural Property,Brazil,Yeah,Federal Government of Brazil, Management,Before ,"Document Management, Certifications, Registrations and Regularization",Website + App,Interpersonal,Producer,General,Free,Producer ↔ Content/Platform,Public,Ministry / Federal Government,Portuguese,No,Yeah,Digitalization,Accessible to Third Parties,https://www.gov.br/gestao/pt-br/assuntos/meu-imovel-rural,"Application that brings together, in a single digital environment, the main documents and information on properties and possessions in Brazil."
Services and Information of Brazil - Gov.br,Brazil,Yeah,Federal Government of Brazil, Management,Before ,Credit and finance services,Website + App,Interpersonal,Producer,General,Free,Producer ↔ Content/Platform,Public,Ministry / Federal Government,Portuguese,No,Yeah,Digitalization,Accessible to Third Parties,https://www.gov.br/pt-br/perfil_usuario/agricultor,"Digital platform that centralizes, in a single space, services and information aimed at farmers, such as registration of rural properties, access to credits and benefits, training, technological innovation and rights of the rural producer."
Agrotrace (extension agent),Brazil,Yeah,IBS, Management,During,Consulting & Technical Assistance,Application,Interpersonal,Extensionist,General,Paid ,Producer ↔ Extensionist,Private,Startup,Portuguese,No,Yeah,Digitization,Accessible to Third Parties,https://www.agrotrace.com.br/,"It offers tools for monitoring the farms served, recording visits and Technical Advisory, monitoring productive and socio-environmental indicators, generating reports, and supporting the management and evaluation of ATER programs."
Agrotrace (producer),Brazil,Yeah,IBS, Management,During,Integrated Production Monitoring and Management,Application,Interpersonal,Producer,General,Paid ,Producer ↔ Content/Platform,Private,Startup,Portuguese,No,Yeah,Digitization,Accessible to Third Parties,https://www.agrotrace.com.br/,"It allows you to record information on production, inputs and handling, organize farm data, comply with traceability and certification requirements, demonstrate the origin and quality of products and facilitate access to markets that demand transparency and socio-environmental compliance."
Check Milk,Brazil,No,IBS,Technical Advisory,During,Integrated Production Monitoring and Management,Website + App,Interpersonal,Extensionist,Specific (milk),Paid,Producer ↔ Content/Platform,Private,Startup,Portuguese,No,Yeah,Digitization,Accessible to Third Parties,https://www.checkmilk.com.br/,"A digital platform focused on milk quality management, which allows monitoring of production and health indicators, recording laboratory analyses, tracking compliance with quality standards, supporting decision-making on the farm, and strengthening traceability."
Agritempo,Brazil,Yeah,Embrapa,Technical Advisory,During,"Meteorology, climate and irrigation",Website + App,Mass media,Producer,General,Free,Producer ↔ Content/Platform,Public,Public Research Company,Portuguese,No,Yeah,Digitization,Accessible to Third Parties,https://www.agritempo.gov.br/br/,"An Agrometeorological Monitoring System that allows users to access, via the Internet, meteorological and agrometeorological information from various Brazilian municipalities and states. The system receives daily data from more than 1,600 weather stations belonging to different institutions, providing information that helps reduce costs and increase productivity."
Zarc - Plantio Certo,Brazil,Yeah,Embrapa,Technical Advisory,During,"Meteorology, climate and irrigation",Application,Mass media,Producer,General,Free,Producer ↔ Content/Platform,Public,Public Research Company,Portuguese,No,Yeah,Digitization,Accessible to Third Parties,https://www.plantiocerto.cnptia.embrapa.br/,"It shows the best planting dates for various crops in Brazil. It retrieves data from the Agricultural Zoning of Climate Risk (ZARC), allowing producers in each municipality to identify the best planting time according to different soil types and production cycles."
SENAR producer connects,Brazil,No,SENAR,Technical Advisory,During,Consulting & Technical Assistance,Website + App,Mass media,Producer,General,Free,Producer ↔ Content/Platform,Public,Other,Portuguese,Yeah,Yeah,Digitization,Accessible to Third Parties,https://apps.apple.com/br/app/conecta-produtor-senar/id6502522051,"Technical assistance management and monitoring application that allows rural producers to organize production and financial information, record data, and monitor technical visits in a single digital environment."
SENAR Play,Brazil,Yeah,SENAR,Learning,During,"Content, Education and Social Network",Application,Mass media,Producer,General,Free,Extensionist ↔ Content/Platform,Public,Other,Portuguese,No,Yeah,Digitization,Accessible to Third Parties,https://ead.senar.org.br/aplicativo-senar,"A digital platform that offers videos, courses and online educational content aimed at training rural producers, agricultural workers and agricultural technicians."
COMPINST System,Brazil,No,Emater,Marketing,After,Government sales,Website,Not Applicable,Producer,General,Not Applicable,Extensionist ↔ Content/Platform,Public,ATER Company / Public Extension Service,Portuguese,Yeah,Yeah,Digitization,Internal (Institutional) Use,https://new.emater.df.gov.br/,"The COMPINST system allows the entire public procurement process of the Food Acquisition Program (PAA) — from the confirmation of the offer to the logistical coordination and the registration of the operations — to be carried out in a fully digital manner, streamlining and organizing the management between extension agents and farmers."
Monitor das secas,Brazil,No,ANN,Technical Advisory,During,"Meteorology, climate and irrigation",Website + App,Mass media,Producer,General,Free,Producer ↔ Content/Platform,Public,Ministry / Federal Government,Portuguese,No,Yeah,Digitization,Accessible to Third Parties,https://monitordesecas.ana.gov.br/mapa?mes=10&ano=2025,"Climate monitoring tool that provides real-time information on drought and water stress conditions. It offers early warnings for producers and extension agents, enabling proactive risk management and the planning of mitigation actions integrated with the ATER (Agricultural Territorial Reduction Area)."
Aurora Network,Brazil,No,USP,Learning,During,"Content, Education and Social Network",Website,Mass media,Extensionist,General,Free,Extensionist ↔ Content/Platform,Public,University,Portuguese,No,Yeah,Digitization,Accessible to Third Parties,https://www.youtube.com/@redeauroraater,Network and YouTube channel that brings together content and practical cases about ATER in digital communication environments.
Zap Rural,Brazil,No,EPAGRI,Learning,During,"Content, Education and Social Network",Messaging Groups,Mass media,Producer,General,Free,Producer ↔ Content/Platform,Public,ATER Company / Public Extension Service,Portuguese,Yeah,Yeah,Digitization,Accessible to Third Parties,https://whatsapp.com/channel/0029Va6gqE27NoZtKtkHsu0K,"A digital outreach initiative that uses WhatsApp to deliver content and practical guidance directly to family farmers. The initiative involves sending short videos and messages weekly on topics such as sustainable management, food production, production organization, and food security."
Hortify,Brazil,No,Hortify, Management,During,Integrated Production Monitoring and Management,Application,Interpersonal,Producer,Specific (vegetables),Paid ,Producer ↔ Content/Platform,Private,Startup,Portuguese,No,Yeah,Digitization,Accessible to Third Parties,https://hortify.app/ ,"A platform that aggregates production, labor, inventory, and financial data, integrated with algorithms that support decision-making. Furthermore, the platform complies with Brazilian government requirements, incorporating a traceability process."
Rural Prose,Brazil,No,Embrapa,Technical Advisory,During,"Content, Education and Social Network",Website + App,Mass media,Producer,General,Free,Producer ↔ Content/Platform,Public,Public Research Company,Portuguese,No,No,Digitization,Accessible to Third Parties,https://play.google.com/store/apps/details?id=com.prosa.rural,"It offers access to audio files of radio programs produced by Embrapa, as well as to Prosa Rural's online radio. The audio files and online radio programs are categorized by region."
Prague Control,Brazil,Yeah,Embrapa,Technical Advisory,Before ,"Pest Management and Control (Biological, Natural and Chemical)",Website + App,Not Applicable,Extensionist,General,Free,Extensionist ↔ Content/Platform,Public,Public Research Company,Portuguese,No,Yeah,Digitization,Accessible to Third Parties,https://www.atermaisdigital.cnptia.embrapa.br/web/controle-de-pragas/pragas,"It compiles technical information on agricultural pests, including identification, characteristics, affected crops, and management and control guidelines. The tool supports producers and rural extension technicians in pest diagnosis and decision-making."
Bio-inputs,Brazil,Yeah,Embrapa,Technical Advisory,Before ,"Pest Management and Control (Biological, Natural and Chemical)",Website + App,Not Applicable,Extensionist,General,Free,Extensionist ↔ Content/Platform,Public,Public Research Company,Portuguese,No,Yeah,Digitization,Accessible to Third Parties,https://www.embrapa.br/busca-de-solucoes-tecnologicas/-/produto-servico/7227/aplicativo-bioinsumos,"The application is a result of the Bio-inputs Program of the Ministry of Agriculture, Livestock and Supply (MAPA) and seeks to consolidate a National Catalog of Bio-inputs to facilitate and promote access to information on the products available for use and where to find them."
Digital signs,Brazil,No,Central 12,Marketing,After,"Food Safety, Traceability and Product Storytelling",Website,Not Applicable,Producer,General,Paid,Producer ↔ Content/Platform,Private,Startup,Portuguese,No,Yeah,Digitization,Accessible to Third Parties,https://central12.com.br/,"A digital label accessible via QR code that centralizes and makes available detailed information about the product — such as origin, traceability, production processes, certifications and sustainability aspects — strengthening transparency and direct communication between agricultural brands and consumers."
INCRALEGIS,Brazil,No,CEGAFI- UnB,Learning,During,"Content, Education and Social Network",Application,Interpersonal,Extensionist,General,Free,Extensionist ↔ Content/Platform,Public,University,Portuguese,Yeah,Yeah,Digitalization,Accessible to Third Parties,https://www.cegafiunb.com/aplicativos/,"It facilitates access to Brazilian agrarian legislation. It covers topics such as expropriation for agrarian reform, environmental licensing, georeferencing, regularization of land tenure, restitution of possession of public lands, real estate allocation, titling, and quilombola territories."
Põe na Cesta,Brazil,No,Emater-DF,Marketing,After,Online Store (E-commerce) and Marketplace Platforms,Website,Mass media,Producer,General,Free,Producer ↔ Content/Platform,Public,ATER Company / Public Extension Service,Portuguese,No,Yeah,Digitization,Accessible to Third Parties,https://dfrural.emater.df.gov.br/poenacesta/,"Emater-DF's digital tool connects rural producers and consumers, facilitating the distribution and sale of local food products. Through the platform, users can locate producers, learn about the types of products offered, their origin, and contact information, strengthening the local economy and promoting the consumption of fresh, high-quality food, without fees or financial intermediation."
ADAMA Target (Alvo),Brazil,No,ADAMA,Technical Advisory,During,"Pest Management and Control (Biological, Natural and Chemical)",Application,Mass media,Producer,"Specific (soybean, milho, cotton, wheat, cane and coffee)",Free,Producer ↔ Content/Platform,Private,Startup,Portuguese,No,No,Digitalization,Accessible to Third Parties,https://www.adama.com/brasil/pt/adama-alvo,"ADAMA Target is an app that helps identify the main pests, weeds, and diseases affecting Brazilian crops such as soybeans, corn, wheat, cotton, sugarcane, and coffee, using a comprehensive image database. Find information on the life cycle, appropriate treatment, economic impact, and a description of each problem in Brazilian crops. If you can't find the target, take a photo, send it, and get help."
Aegro Campo,Brazil,No,Aegro, Management,During,Integrated Production Monitoring and Management,Application,Mass media,Producer,General,Paid,Producer ↔ Content/Platform,Private,Startup,Portuguese,No,No,Digital Transformation,Accessible to Third Parties,"https://aegro.com.br/solucoes/gestao-rural/
https://play.google.com/store/apps/details?id=com.aegro.aegroapp
https://apps.apple.com/us/app/aegro-campo/id1105392365?l=pt-BR","Aegro is an application that effectively integrates agricultural and financial data, helping you make more profitable decisions. The main advantages of using Aegro are: monitoring farm operations remotely and in real time; and having greater control over agricultural production costs."
Agriculture SC,Brazil,No,Secretary of Agriculture of Santa Catarina,Communication,During,"Content, Education and Social Network",Application,Mass media,Producer,General,Free,Producer ↔ Content/Platform,Public,State/Provincial Government,Portuguese,No,Yeah,Digitization,Accessible to Third Parties,"https://apps.apple.com/us/app/agricultura-sc/id6739265025; 
https://play.google.com/store/apps/details?id=com.sar.agriculturasc","The main agricultural app in Santa Catarina is Agricultura SC, from the Secretariat of Agriculture and Livestock (SAPE). This app compiles news, programs, services, and information from Epagri, Cidasc, and Ceasa, making it ideal for Santa Catarina producers to stay up-to-date. In addition, Epagri Mob offers practical tools such as weather forecasts, disease monitoring, and agricultural technologies."
AgroApp,Brazil,No,Agroapp Solucoes Agro Digitais LTDA,Technical Advisory,Before ,"Pest Management and Control (Biological, Natural and Chemical)",Application,Mass media,Producer,"Specific (cotton, rice, sweet potato, coffee, sugar cane, citrus, feijão, sunflower, milho, pastagens, soy, sorghum, tomato and wheat)",Free,Producer ↔ Content/Platform,Private,Private Sector,Portuguese,No,No,Digitization,Accessible to Third Parties,"https://agroapp.com.br/recursos/
https://play.google.com/store/apps/details?id=br.com.agroapp","The application compiles agricultural information in an organized and easily accessible way. It was developed considering the difficulty farmers and technicians face in finding reliable and structured information in their daily work in the field. While a large amount of content is available online, much of it is scattered and inaccessible offline, precisely when it is most needed. In this sense, the application aims to facilitate the practical use of information in the field, even in contexts of limited connectivity."
AgroCaderno,Brazil,No,"Harvest Apps Ltd.

",Technical Advisory,Before ,"Pest Management and Control (Biological, Natural and Chemical)",Application,Mass media,Producer,General,Paid,Producer ↔ Content/Platform,Private,Private Sector,Portuguese,No,No,Digitization,Accessible to Third Parties,https://play.google.com/store/apps/details?id=com.mycompany.agrobulas,"A digital tool designed to facilitate the organization and recording of agricultural activities. The application allows users to monitor pesticide use, record spraying, and note key operations performed on the property, contributing to more systematic information management. It also facilitates the sharing of records among team members, making it easier to track daily production activities."
Agrolink,Brazil,No,Agrolink,Marketing,After,Online Store (E-commerce) and Marketplace Platforms,Site,Mass media,Producer,"Specific (Algodão, Rice, Coffee, Cana, Feijão, Milho, Soy and Wheat)",Free,Producer ↔ Content/Platform,Private,Private Sector,Portuguese,No,,Digitization,Accessible to Third Parties,https://www.agrolink.com.br/agrolinkfito/,"A digital agricultural information platform that brings together news, technical content, and data of interest to the agricultural sector. It serves as an information resource on topics such as pesticide use, market information, agricultural prices, weather forecasts, and audiovisual materials, facilitating access to information for producers, technicians, and other stakeholders in rural areas."
AgroPragas Passion Fruit,Brazil,No,Embrapa,Technical Advisory,Before ,"Pest Management and Control (Biological, Natural and Chemical)",Application,Mass media,Producer,Specific (Passion Fruit),Free,Producer ↔ Content/Platform,Public,Public Research Company,Portuguese,No,No,Digitization,Accessible to Third Parties,https://play.google.com/store/apps/details?id=br.embrapa.cnpmf.gicp_maracujazeiro,"A tool for integrated pest and disease management in passion fruit. It compiles technical information on identification, monitoring, and control strategies, helping farmers and technicians make informed decisions about crop management. The application organizes the content in a practical way, contributing to a more efficient use of inputs and improving the health and productivity of passion fruit orchards."
BASF Agro,Brazil,No,BASF SA,Marketing,Before ,"Fertilizers, inoculants and nutrients",Application,Mass media,Producer,General,Free,Producer ↔ Content/Platform,Private,Private Sector,Portuguese,No,Yeah,Digitization,Accessible to Third Parties,https://play.google.com/store/apps/details?id=br.com.basf.agro,"The tool compiles information related to agricultural production, including guidelines on pesticide use, as well as content focused on accessing market information. Its objective is to support farmers and technicians in monitoring the productive and commercial aspects of agricultural activity, facilitating access to relevant data for planning and decision-making in daily field operations."
Agricultural Defensive Bulário,Brazil,No,Samuel Campos Lopes da Silva Technology,Technical Advisory,Before ,"Pest Management and Control (Biological, Natural and Chemical)",Application,Mass media,Both,General,Free,Producer ↔ Content/Platform,Private,Private Sector,Portuguese,No,Yeah,Digitalization,Accessible to Third Parties,https://play.google.com/store/apps/details?id=appsmoveis.com.br.bulariodefensivosagricolas,"This application is designed to support agronomists and farmers in the management of agricultural pesticides. It contains a database of over 1,800 registered products and can be used offline. The tool allows searches by product, active ingredient, or manufacturer, facilitating access to technical information for daily fieldwork."
Calagem & Adubação,Brazil,No,Daniel Baltazar Schneider,Technical Advisory,Before ,Soil and Plant Analysis,Application,Mass media,Both,General,Freemium,Producer ↔ Content/Platform,Private,Private Sector,Portuguese,No,No,Digitization,Accessible to Third Parties,"https://datalu.com.br/pages/calagemadubacao.html
https://play.google.com/store/apps/details?id=br.com.stringsoft.calagem_brasil","An app designed to simplify the technical planning of liming, fertilization, and input distribution in the field. It includes tools for calculating liming requirements, the quantity of amendments and fertilizers, calibrating lime and fertilizer spreaders, and adjusting seeders and fertilizer applicators. Based on soil analysis data, the app performs the necessary calculations and allows users to measure areas using maps. It also offers phytosanitary consultations and other useful management information, all conveniently accessible directly on your mobile device."
Planting Calculations,Brazil,No,Daniel Baltazar Schneider,Technical Advisory,Before ,Soil and Plant Analysis,Application,Mass media,Both,General,Freemium,Producer ↔ Content/Platform,Private,Private Sector,Portuguese,No,No,Digitization,Accessible to Third Parties,https://play.google.com/store/apps/details?id=br.com.datalu.plantecerto; https://apps.apple.com/jp/app/c%C3%A1lculos-de-plantio/id6743328754,"It offers precise calculations for sowing major cereals, allowing you to determine the ideal seed quantity and spacing. In addition, the application includes a dedicated module for germination testing."
GID Inemigos Naturais,Brazil,No,"IAPAR - EMATER
",Technical Advisory,During,Diagnostic Imaging and Identification,Application,Mass media,Both,General,Free,Producer ↔ Content/Platform,Public,Public Research Company,Portuguese,No,No,Digitization,Accessible to Third Parties,https://play.google.com/store/apps/details?id=br.gov.pr.idrparana.inimigos_naturais_soja,"This application, developed by IDR-Paraná, brings together descriptions and images to facilitate the identification of predatory and parasitoid insects associated with agricultural pest control. The content is presented in simple language, making it easy to understand for users less familiar with entomological taxonomy, and can be used to support the training and development of farmers, students, and professionals in the agricultural sector."
"Calagem App
",Brazil,No,Danilo Andrade Santos,Technical Advisory,Before ,"Fertilizers, inoculants and nutrients",Application,Mass media,Both,General,Paid,Producer ↔ Content/Platform,Private,Private Sector,Portuguese,No,No,Digitization,Accessible to Third Parties,"https://calagemapp.com/
https://play.google.com/store/apps/details?id=com.calagem_app.codigo.agro.dados.agro",Calagem App is a calculation assistant that recommends liming needs and the amount of acidity regulators required. Enter your soil analysis data and let Calagem App perform the calculations and generate a personalized PDF recommendation for you to share with your contacts.
RecetuAgro,Brazil,No,Lucinei Robson Loch,Technical Advisory,Before ,"Pest Management and Control (Biological, Natural and Chemical)",Application,Mass media,Producer,General,Paid,Producer ↔ Content/Platform,Private,Private Sector,Portuguese,No,Yeah,Digitization,Accessible to Third Parties,"https://receituagro.agrimind.com.br/
https://play.google.com/store/apps/details?id=br.com.agrimind.pragassoja","Consult the products indicated for the treatment of the main pests and diseases that attack a wide variety of crops; find recommendations for pesticide application, dosage and preparation of spray solutions."
Water Crop,Brazil,No,Crops Team Consulting Services Research and Development LTDA,Technical Advisory,Before ,Waste and Water Management,Application,Mass media,Producer,General,Free,Producer ↔ Content/Platform,Private,Private Sector,Portuguese,No,Yeah,Digitization,Accessible to Third Parties,https://play.google.com/store/apps/details?id=com.cropsteam.watercrop,"An application focused on irrigation management, developed to help farmers and consultants make decisions about water use in sprinkler-irrigated crops. The tool helps define the timing and volume of irrigation, considering variables such as crop characteristics, planting date, and soil type, thus contributing to more efficient water resource management."
Online Agricultural Consultations - Consult with experts,Argentina,Yeah,Online Agricultural Consultations,Technical Advisory,During,"Content, Education and Social Network",Website,Mass media,Both,General,Free,Producer ↔ Extensionist,Private,Private Sector,Spanish,Yeah,Yeah,Digitization,Accessible to Third Parties, https://www.agroconsultasonline.com/,"A digital platform for consulting with specialists, participating in online events, and exchanging experiences. In addition to public consultation, the platform offers a digital library with articles, tools, videos, and technical materials, organized by topic and type of production."
ACO Chat,Argentina,Yeah,Online Agricultural Consultations,Technical Advisory,During,"Content, Education and Social Network",Website; Chatbots,Mass media,Both,General,Free,Producer ↔ Content/Platform,Private,Private Sector,Spanish,No,Yeah,Digitization,Accessible to Third Parties,https://www.agroconsultasonline.com/chataco,It is an artificial intelligence assistant for agriculture
Training,Argentina,Yeah,Online Agricultural Consultations,Learning,During,"Content, Education and Social Network",E-learning platforms,Mass media,Both,General,Free,Producer ↔ Content/Platform,Private,Private Sector,Spanish,No,Yeah,Digitization,Accessible to Third Parties,https://www.agroconsultasonline.com/trainings,"Online training platform focused on technical training in the agricultural sector, offering courses, training and specialized content taught by specialists."
National Meteorological Service of Argentina,Argentina,No,Ministry of Defense,Technical Advisory,During,"Meteorology, Climate and Irrigation",Website,Mass media,Both,General,Free,Extensionist ↔ Content/Platform,Public,Ministry / Federal Government,Spanish,No,Yeah,Digitization,Accessible to Third Parties,https://www.smn.gob.ar/radar,"It provides near real-time weather radar imagery, allowing users to track the occurrence and intensity of rain, storms, and other atmospheric events. The tool supports weather monitoring, alert issuance, and decision-making."
Agroclimatic Information,Argentina,No,INTA,Technical Advisory,During,"Meteorology, Climate and Irrigation",Website,Mass media,Both,General,Free,Extensionist ↔ Content/Platform,Public,Ministry / Federal Government,Spanish,No,Yeah,Digitization,Accessible to Third Parties,https://www.argentina.gob.ar/informacion-agroclimatica,"Tools: Weekly AgroMet, Monthly AgroMet, AgroCultivos"
INTA GEO,Argentina,No,INTA,Technical Advisory,During,"Meteorology, Climate and Irrigation",Website,Mass media,Both,General,Free,Extensionist ↔ Content/Platform,Public,Ministry / Federal Government,Spanish,No,Yeah,Digitization,Accessible to Third Parties,https://www.argentina.gob.ar/inta,Geospatial platform for the comprehensive management of geographic information for the agricultural sector - https://www.argentina.gob.ar/inta
INTA Digital Repository; and INTA Publications,Argentina,No,INTA,Learning,During,"Content, Education and Social Network",Website,Mass media,Both,General,Free,Extensionist ↔ Content/Platform,Public,Ministry / Federal Government,Spanish,No,Yeah,Digitalization,Accessible to Third Parties,https://www.argentina.gob.ar/inta,"Free public access to books, journal articles, theses, technical reports and presentations, among others; Publishing house specializing in research, development and technological innovation publications applied to the agricultural sector"
AGRO24,Argentina,Yeah,AGRO24, Management,Before ,Sharing Economy,Website,Mass media,Producer,General,Paid,Producer ↔ Producer,Private,Startup,Spanish,,Yeah,Digitization,Accessible to Third Parties,https://agro24.ar/,Platform that connects producers and consumers to simplify the process of purchasing and supplying agricultural inputs.
Fair Farming,Argentina,Yeah,Fair Farming,Marketing,After,Online Store (E-commerce) and Marketplace Platforms,Website + App,Mass media,Producer,General,Paid,Producer ↔ Content/Platform,Private,Startup,Spanish,No,Yeah,Digitization,Accessible to Third Parties,https://agrojusto.com.ar/,"A suite of technological solutions that enables direct sales from small producers to buyers. It includes a mobile application for rural and agri-food producers, integrated with an internal messaging and notification system, other parameters specific to the food sector, and an e-commerce platform."
Harvesters,Argentina,No,National University of Córdoba,Technical Advisory,During,"Meteorology, Climate and Irrigation",Application ,Not Applicable,Producer,General,Free,Producer ↔ Content/Platform,Public,University,Spanish,No,Yeah,Digitization,Accessible to Third Parties,https://play.google.com/store/apps/details?id=ar.edu.unc.cosecheros,"""Cosecheros"" is a mobile application for Android phones that allows the monitoring, notification, and mapping of the impacts of extreme weather events on agricultural activity, as well as agrochemical drift events."
Campero Fertilizer,Argentina,No,Esteban Regueira,Technical Advisory,Before ,"Fertilizers, inoculants and nutrients",Application,Mass media,Extensionist,General,Free,Extensionist ↔ Content/Platform,Public,Ministry / Federal Government,Spanish,No,No,Digital Transformation,Accessible to Third Parties,https://play.google.com/store/apps/details?id=com.inta.camperofertilizadoras,"This application is designed to adjust the application of spray products such as fertilizers and soil amendments. The tool allows users to calculate dosages, estimate the equipment's working width, and evaluate distribution uniformity. It also calculates the amount of product needed to treat a specific area and generates reports with the results, which are stored on the device."
Map of complexities,Bolivia,Yeah,Productive Development Bank (BDP),Technical Advisory,During,"Content, Education and Social Network",Monitoring Panels (Dashboards),Mass media,Extensionist,General,Free,Extensionist ↔ Content/Platform,Public,Development Agency,Spanish,No,Yeah,Digitization,Accessible to Third Parties,https://complejidades.bdp.com.bo/,"It is a diagnostic tool that supports decision-making for local development, offering territorial information on productive activity, performance and marketing, and identifying sectors with growth potential."
Media Library,Bolivia,Yeah,INIAF,Learning,During,"Content, Education and Social Network",Website,Mass media,Producer,General,Free,Producer ↔ Content/Platform,Public,Public Research Company,Spanish,No,Yeah,Digitization,Accessible to Third Parties,https://iniaf.gob.bo/biblioteca-de-medios/,"A digital repository that brings together technical publications, manuals, reports, and agricultural innovation materials to support production, research, and rural extension in Bolivia"
Virtual Library,Bolivia,Yeah,PROINPA,Learning,During,"Content, Education and Social Network",Website,Mass media,Producer,General,Free,Producer ↔ Content/Platform,Organized Civil Society,NGO / CSO,Spanish,No,Yeah,Digitization,Accessible to Third Parties,https://www.proinpa.org/web/biblioteca-virtual/,"It is a digital repository of knowledge about Andean agrobiodiversity, which brings together technical and educational materials on bio-inputs, grains and cereals, vegetables and legumes, potatoes, fruit trees, quinoa, Andean roots and tubers, as well as recipes and content for sustainable production and the valorization of local knowledge."
I'm scared,Chile,Yeah,I'm scared, Management,During,Integrated Production Monitoring and Management,Application ,Not Applicable,Both,General,Freemium,Extensionist ↔ Content/Platform,Private,Startup,Spanish,Yeah,Yeah,Digital Transformation,Accessible to Third Parties,https://miido.ai/,"MIIDO uses advanced voice recognition technology to convert WhatsApp audio messages into text. Our system then processes this text to extract relevant information and organize it into tasks, records, and queries."
INIA Educa,Chile,Yeah,INIA,Learning,During,"Content, Education and Social Network",E-learning platforms,Mass media,Both,General,Free,Producer ↔ Content/Platform,Public,Public Research Company,Spanish,No,Yeah,Digitization,Accessible to Third Parties,https://iniaeduca.cl/,"INIA Educa SpA is a company belonging to the Agricultural Research Institute INIA dedicated to providing specialized courses for professionals, technicians and farmers, whose objective is the provision of training services, offering a range of stable courses and being available to organize courses, workshops and diplomas"
INIA Digital Library,Chile,Yeah,INIA,Learning,During,"Content, Education and Social Network",Website,Mass media,Both,General,Free,Producer ↔ Content/Platform,Public,Public Research Company,Spanish,No,Yeah,Digitalization,Accessible to Third Parties,https://biblioteca.inia.cl/home,"It offers more than 5,000 publications in digital format, including books, newsletters, information sheets, technical data sheets, videos and radio capsules (podcasts), all on agricultural topics in the country."
Smartfield 360,Chile,Yeah,INIA,Technical Advisory,During,"Content, Education and Social Network",Virtual/Augmented Reality Environments,Mass media,Both,General,Free,Producer ↔ Content/Platform,Public,Public Research Company,Spanish,No,Yeah,Digital Transformation,Accessible to Third Parties,https://www.smartfieldinia.cl/,"Virtual reality platform of the Los Tilos and Santa Rosa fields, with technology demonstration"
Campus,Chile,Yeah,INIA,Technical Advisory,During,"Content, Education and Social Network",Website,Mass media,Both,General,Free,Producer ↔ Content/Platform,Public,Public Research Company,Spanish,No,Yeah,Digitization,Accessible to Third Parties,https://smartfieldinia.cl/campusinia/,Virtual training in agricultural technologies to improve practices and technology adoption
Late Blight Early Warning System,Chile,No,INIA,Technical Advisory,During,"Meteorology, Climate and Irrigation",Website,Mass media,Both,Specific (potato),Free,Producer ↔ Content/Platform,Public,Public Research Company,Spanish,No,Yeah,Digitization,Accessible to Third Parties,https://tizon.inia.cl/,Technological tool that uses meteorological and epidemiological data to predict conditions favorable for the development of the disease (Late Blight).
Agrapp,Chile,Yeah,Agrapp, Management,During,Integrated Production Monitoring and Management,Application ,Interpersonal,Producer,General,Paid,Producer ↔ Content/Platform,Private,Startup,Spanish,Yeah,No,Digital Transformation,Accessible to Third Parties,https://www.agrapp.cl/,"It is a digital field notebook that allows you to record information in the field, work offline, and generate reports simply and efficiently for agricultural management."
AgroMatch,Chile,Yeah,AgroMatch, Management,Before ,Sharing Economy,Website,Interpersonal,Producer,General,Paid,Producer ↔ Producer,Private,Startup,Spanish,No,Yeah,Digitization,Accessible to Third Parties,https://agromatch.cl/,AgroMatch is a platform that connects owners of machinery or services with farmers looking to rent these machines or services.
AGRI,Chile,Yeah,TCIT Cloud Solutions, Management,During,Integrated Production Monitoring and Management,Website,Interpersonal,Producer,General,Paid,Producer ↔ Content/Platform,Private,Startup,Spanish,No,Yeah,Digitization,Accessible to Third Parties,https://www.agri.cl/,"A management platform that unifies the administrative and production processes of agricultural businesses. Its key modules include cost control and budgeting, task and harvest management, purchasing, and inventory management."
Agrosmart,Chile,Yeah,Agrosmart, Management,During,Integrated Production Monitoring and Management,Website,Interpersonal,Producer,General,Paid,Producer ↔ Content/Platform,Private,Startup,Spanish,No,Yeah,Digitization,Accessible to Third Parties,https://agrosmart.cl/,"A software-as-a-service (SaaS) agricultural management platform and intelligent field notebook, designed from the farmer's perspective. It covers administrative, production, operational, and financial areas, with the goal of increasing efficiency and competitiveness."
You eat,Chile,Yeah,You eat,Marketing,After,Online Store (E-commerce) and Marketplace Platforms,Website,Interpersonal,Producer,General,Commission-Based,Producer ↔ Content/Platform,Private,Startup,Spanish,No,Yeah,Digitization,Accessible to Third Parties,https://www.comes.cl/,It seeks to promote a more sustainable food system by connecting local producers with food retailers.
Technical Specifications,Chile,No,INDAP,Technical Advisory,During,"Content, Education and Social Network",Website,Mass media,Producer,General,Free,Producer ↔ Content/Platform,Public,ATER Company / Public Extension Service,Spanish,No,Yeah,Digitization,Accessible to Third Parties,https://www.indap.gob.cl/fichas-tecnicas,"Online support materials for small-scale family farming, compiling standardized technical information by region and crop. Available for viewing and download in Excel format, the fact sheets present production guidelines, inputs, management practices, and technical references for various agricultural sectors."
