Nombre de la Herramienta,País de Origen,Elaboración de la ficha detallada,Institución Responsable,Finalidad de la Herramienta,Momento de la Actividad Productiva,Taxonomia da ferramenta (principal),Canales de Acceso a la Información,Tipología de los Canales de Comunicación,Público Objetivo Principal,Alcance de Aplicación,Modelo de Acceso,Dimensión de Interacción,Naturaleza Institucional,Categoría de la Organización,Idioma de Disponibilización,Integración con WhatsApp,Conectividad Necesaria,Nivel de Digitalización,Nivel de Apertura de la Herramienta,Link,Descripción (resumen)
Aegro Campo,Brasil,No,Aegro, Gestión,Dentro ,Monitoreo y Gestión Integrada de la Producción,Aplicación,Medios de masa,Productor,General,Pago,Productor ↔ Contenido/Plataforma,Privada,Startup,Portugués,No,No,Transformación Digital,Accesible a Terceros,"https://aegro.com.br/solucoes/gestao-rural/
https://play.google.com/store/apps/details?id=com.aegro.aegroapp
https://apps.apple.com/us/app/aegro-campo/id1105392365?l=pt-BR","Aegro es una aplicación que integra eficazmente datos agrícolas y financieros, ayudándote a tomar decisiones más rentables. Las principales ventajas de ser usuario de Aegro son: Monitorear las operaciones de la granja de forma remota y en tiempo real; Tener un mayor control sobre los costos de la producción agrícola."
Agricultura SC,Brasil,No,Secretaria de Agriculutra de Santa Catarina,Comunicación,Dentro ,"Contenido, Educación y Red Social",Aplicación,Medios de masa,Productor,General,Gratuito,Productor ↔ Contenido/Plataforma,Pública,Gobierno Estatal / Provincial,Portugués,No,Sí,Digitalización,Accesible a Terceros,"https://apps.apple.com/us/app/agricultura-sc/id6739265025; 
https://play.google.com/store/apps/details?id=com.sar.agriculturasc","La principal aplicación para la agricultura en Santa Catarina es Agricultura SC, de la Secretaría de Agricultura y Ganadería (SAPE). Esta aplicación reúne noticias, programas, servicios e información de Epagri, Cidasc y Ceasa, lo que la hace ideal para que los productores catarinenses se mantengan al día. Además, Epagri Mob ofrece herramientas prácticas como pronósticos meteorológicos, monitoreo de enfermedades y tecnologías agrícolas."
AgroApp,Brasil,No,Agroapp Solucoes Agro Digitais LTDA, Orientación Técnica,Antes ,"Manejo y Control de Plagas (Biológico, Natural y Químico)",Aplicación,Medios de masa,Productor,"Específica (algodão, arroz, batata, café, cana-de-açúcar, citros, feijão, girassol, milho, pastagens, soja, sorgo, tomate e trigo)",Gratuito,Productor ↔ Contenido/Plataforma,Privada,Sector Privado,Portugués,No,No,Digitalización,Accesible a Terceros,"https://agroapp.com.br/recursos/
https://play.google.com/store/apps/details?id=br.com.agroapp","La aplicación recopila información agrícola de forma organizada y de fácil acceso. Se desarrolló considerando la dificultad que enfrentan agricultores y técnicos para encontrar información fiable y estructurada en su trabajo diario en el campo. Si bien existe una gran cantidad de contenido disponible en internet, gran parte de la información está dispersa y no se puede acceder sin conexión, precisamente cuando más se necesita. En este sentido, la aplicación busca facilitar el uso práctico de la información en el campo, incluso en contextos de conectividad limitada."
AgroCaderno,Brasil,No,"Harvest Apps Ltda
", Orientación Técnica,Antes ,"Manejo y Control de Plagas (Biológico, Natural y Químico)",Aplicación,Medios de masa,Productor,General,Pago,Productor ↔ Contenido/Plataforma,Privada,Sector Privado,Portugués,No,No,Digitalización,Accesible a Terceros,https://play.google.com/store/apps/details?id=com.mycompany.agrobulas,"Una herramienta digital diseñada para facilitar la organización y el registro de las actividades agrícolas. La aplicación permite a los usuarios controlar el uso de pesticidas, registrar las fumigaciones y anotar las principales operaciones realizadas en la propiedad, lo que contribuye a una gestión más sistemática de la información. También facilita el intercambio de registros entre los miembros del equipo, lo que facilita el seguimiento de las actividades diarias de producción."
Agrolink,Brasil,No,Agrolink,Comercialización,Después,Tienda en Línea (E-commerce) y Plataformas de Marketplace,Site,Medios de masa,Productor,"Específica (Algodão, Arroz, Café, Cana, Feijão, Milho, Soja e Trigo)",Gratuito,Productor ↔ Contenido/Plataforma,Privada,Sector Privado,Portugués,No,,Digitalización,Accesible a Terceros,https://www.agrolink.com.br/agrolinkfito/,"Una plataforma digital de información agrícola que reúne noticias, contenido técnico y datos de interés para el sector agrícola. Sirve como recurso de información sobre temas como el uso de plaguicidas, información de mercado, precios agrícolas, pronósticos meteorológicos y materiales audiovisuales, facilitando el acceso a la información a productores, técnicos y otros actores del entorno rural."
AgroPragas Maracujá,Brasil,No,Embrapa, Orientación Técnica,Antes ,"Manejo y Control de Plagas (Biológico, Natural y Químico)",Aplicación,Medios de masa,Productor,Específica (Maracujá),Gratuito,Productor ↔ Contenido/Plataforma,Pública,Empresa Pública de Investigación,Portugués,No,No,Digitalización,Accesible a Terceros,https://play.google.com/store/apps/details?id=br.embrapa.cnpmf.gicp_maracujazeiro,"Una herramienta para el manejo integrado de plagas y enfermedades en el maracuyá. Reúne información técnica sobre estrategias de identificación, monitoreo y control, ayudando a agricultores y técnicos a tomar decisiones sobre el manejo del cultivo. La aplicación organiza el contenido de forma práctica, contribuyendo a un uso más racional de los insumos y a la mejora de la salud y la productividad de los huertos de maracuyá."
BASF Agro,Brasil,No,BASF SA,Comercialización,Antes ,"Fertilizantes, inoculantes y nutrientes",Aplicación,Medios de masa,Productor,General,Gratuito,Productor ↔ Contenido/Plataforma,Privada,Sector Privado,Portugués,No,Si,Digitalización,Accesible a Terceros,https://play.google.com/store/apps/details?id=br.com.basf.agro,"La herramienta recopila información relacionada con la producción agrícola, incluyendo directrices sobre el uso de plaguicidas, así como contenido enfocado en el acceso a información de mercado. El objetivo es apoyar a agricultores y técnicos en el monitoreo de los aspectos productivos y comerciales de la actividad agrícola, facilitando el acceso a datos relevantes para la planificación y la toma de decisiones en las operaciones diarias de campo."
Bulário Defensivos Agrícolas,Brasil,No,Samuel Campos Lopes da Silva Tecnologia, Orientación Técnica,Antes ,"Manejo y Control de Plagas (Biológico, Natural y Químico)",Aplicación,Medios de masa,Ambos,General,Gratuito,Productor ↔ Contenido/Plataforma,Privada,Sector Privado,Portugués,No,Sí,Digitación,Accesible a Terceros,https://play.google.com/store/apps/details?id=appsmoveis.com.br.bulariodefensivosagricolas,"Esta aplicación está diseñada para apoyar a agrónomos y agricultores en la gestión de plaguicidas agrícolas. Contiene una base de datos con más de 1800 productos registrados y puede utilizarse sin conexión a internet. La herramienta permite búsquedas por producto, ingrediente activo o fabricante, facilitando el acceso a información técnica en el trabajo de campo diario."
Calagem & Adubação,Brasil,No,Daniel Baltazar Schneider, Orientación Técnica,Antes ,Análisis de Suelo y Plantas,Aplicación,Medios de masa,Ambos,General,Freemium,Productor ↔ Contenido/Plataforma,Privada,Sector Privado,Portugués,No,No,Digitalización,Accesible a Terceros,"https://datalu.com.br/pages/calagemadubacao.html
https://play.google.com/store/apps/details?id=br.com.stringsoft.calagem_brasil","Una aplicación para facilitar la planificación técnica del encalado, la fertilización y la distribución de insumos en el campo. Reúne herramientas para calcular las necesidades de encalado, la cantidad de correctivos y fertilizantes, calibrar los distribuidores de cal y fertilizantes, y ajustar las sembradoras y aplicadores de fertilizantes. Basándose en los datos del análisis de suelo, la aplicación realiza los cálculos necesarios y permite medir áreas mediante mapas, además de ofrecer consultas fitosanitarias e información útil para la gestión, todo de forma práctica y directamente en el dispositivo móvil."
Cálculos de Plantio,Brasil,No,Daniel Baltazar Schneider, Orientación Técnica,Antes ,Análisis de Suelo y Plantas,Aplicación,Medios de masa,Ambos,General,Freemium,Productor ↔ Contenido/Plataforma,Privada,Sector Privado,Portugués,No,No,Digitalización,Accesible a Terceros,https://play.google.com/store/apps/details?id=br.com.datalu.plantecerto; https://apps.apple.com/jp/app/c%C3%A1lculos-de-plantio/id6743328754,"Ofrece cálculos precisos para la siembra de los principales cereales, lo que permite determinar la cantidad ideal de semillas y el espaciamiento adecuado. Además, la aplicación cuenta con un módulo exclusivo para pruebas de germinación."
GID Inimigos Naturais,Brasil,No,"IAPAR - EMATER
", Orientación Técnica,Dentro ,Diagnóstico e Identificación por Imagen,Aplicación,Medios de masa,Ambos,General,Gratuito,Productor ↔ Contenido/Plataforma,Pública,Empresa Pública de Investigación,Portugués,No,No,Digitalización,Accesible a Terceros,https://play.google.com/store/apps/details?id=br.gov.pr.idrparana.inimigos_naturais_soja,"Esta aplicación, desarrollada por IDR-Paraná, reúne descripciones e imágenes para facilitar la identificación de insectos depredadores y parasitoides asociados al control de plagas agrícolas. El contenido se presenta en un lenguaje sencillo, lo que facilita la comprensión a usuarios menos familiarizados con la taxonomía entomológica, y puede utilizarse para apoyar la formación y el desarrollo de agricultores, estudiantes y profesionales del sector agrícola."
"Calagem App
",Brasil,No,Danilo Andrade Santos, Orientación Técnica,Antes ,"Fertilizantes, inoculantes y nutrientes",Aplicación,Medios de masa,Ambos,General,Pago,Productor ↔ Contenido/Plataforma,Privada,Sector Privado,Portugués,No,No,Digitalización,Accesible a Terceros,"https://calagemapp.com/
https://play.google.com/store/apps/details?id=com.calagem_app.codigo.agro.dados.agro",Calagem App es un asistente de cálculo que recomienda las necesidades de encalado y la cantidad de correctores de acidez necesarios. Introduce los datos de tu análisis de suelo y deja que Calagem App realice los cálculos y genere una recomendación personalizada en PDF para que la compartas con tus contactos.
ReceituAgro,Brasil,No,Lucinei Robson Loch, Orientación Técnica,Antes ,"Manejo y Control de Plagas (Biológico, Natural y Químico)",Aplicación,Medios de masa,Productor,General,Pago,Productor ↔ Contenido/Plataforma,Privada,Sector Privado,Portugués,No,Sí,Digitalización,Accesible a Terceros,"https://receituagro.agrimind.com.br/
https://play.google.com/store/apps/details?id=br.com.agrimind.pragassoja","Consulte los productos indicados para el tratamiento de las principales plagas y enfermedades que atacan a una amplia variedad de cultivos; encuentre recomendaciones para la aplicación de plaguicidas, dosificación y preparación de soluciones de aspersión."
Water Crop,Brasil,No,Crops Team Servicos De Consultoria Pesquisa E Desenvolvimento LTDA, Orientación Técnica,Antes ,Gestión de Residuos y Agua,Aplicación,Medios de masa,Productor,General,Gratuito,Productor ↔ Contenido/Plataforma,Privada,Sector Privado,Portugués,No,Sí,Digitalización,Accesible a Terceros,https://play.google.com/store/apps/details?id=com.cropsteam.watercrop,"Una aplicación enfocada en la gestión del riego, desarrollada para ayudar a agricultores y consultores a tomar decisiones sobre el uso del agua en cultivos regados por aspersión. La herramienta ayuda a definir el momento y el volumen de riego, considerando variables como las características del cultivo, la fecha de siembra y el tipo de suelo, contribuyendo así a una gestión más eficiente de los recursos hídricos."
Miido,Chile,Sí,Miido, Gestión,Dentro ,Monitoreo y Gestión Integrada de la Producción,Aplicación ,No se aplica,Ambos,General,Freemium,Extensionista ↔ Contenido/Plataforma,Privada,Startup,Espanhol,Sí,Sí,Transformación Digital,Accesible a Terceros,https://miido.ai/,"MIIDO utiliza tecnología avanzada de reconocimiento de voz para convertir los mensajes de audio de WhatsApp en texto. Luego, nuestro sistema procesa este texto para extraer información relevante y organizarla en tareas, registros y consultas."
INIA Educa ,Chile,Sí,INIA,Aprendizaje,Dentro ,"Contenido, Educación y Red Social",Plataformas de E-learning,Medios de masa,Ambos,General,Gratuito,Productor ↔ Contenido/Plataforma,Pública, Empresa Pública de Investigación,Espanhol,No,Sí,Digitalización,Accesible a Terceros,https://iniaeduca.cl/,"INIA Educa SpA es una empresa perteneciente del Instituto de Investigaciones Agropecuarias INIA dedicada a brindar cursos de especialización para  profesionales, técnicos y agricultores, cuyo objetivo es la prestación de servicios de capacitación, ofreciendo una batería de cursos estables y a disposición de organizar cursos, talleres y diplomados"
Biblioteca Digital INIA ,Chile,Sí,INIA,Aprendizaje,Dentro ,"Contenido, Educación y Red Social",Website,Medios de masa,Ambos,General,Gratuito,Productor ↔ Contenido/Plataforma,Pública, Empresa Pública de Investigación,Espanhol,No,Sí,Digitación,Accesible a Terceros,https://biblioteca.inia.cl/home,"Ofrece más de 5.000 publicaciones en versión digital, entre ellos libros, boletines, informativos, fichas técnicas, videos y capsulas radiales (podcast), todos sobre temas agropecuarios del país. "
Smartfield 360,Chile,Sí,INIA, Orientación Técnica,Dentro ,"Contenido, Educación y Red Social",Entornos de Realidad Virtual/Aumentada,Medios de masa,Ambos,General,Gratuito,Productor ↔ Contenido/Plataforma,Pública, Empresa Pública de Investigación,Espanhol,No,Sí,Transformación Digital,Accesible a Terceros,https://www.smartfieldinia.cl/," Plataforma de realidad virtual del campo Los Tilos y Santa Rosa, con demostración de tecnologías "
Campus,Chile,Sí,INIA, Orientación Técnica,Dentro ,"Contenido, Educación y Red Social",Website,Medios de masa,Ambos,General,Gratuito,Productor ↔ Contenido/Plataforma,Pública, Empresa Pública de Investigación,Espanhol,No,Sí,Digitalización,Accesible a Terceros,https://smartfieldinia.cl/campusinia/,Capacitaciones virtuales en tecnologías agrícolas para mejorar las prácticas y adopción tecnológica
Sistema de Alerta Temprana de Tizón Tardío,Chile,No,INIA, Orientación Técnica,Dentro ,"Meteorología, Clima e Irrigación",Website,Medios de masa,Ambos,Específica (papa),Gratuito,Productor ↔ Contenido/Plataforma,Pública, Empresa Pública de Investigación,Espanhol,No,Sí,Digitalización,Accesible a Terceros,https://tizon.inia.cl/,Herramienta tecnológica que utiliza datos meteorológicos y epidemiológicos para predecir las condiciones favorables para el desarrollo de la enfermedad (Tizón Tardío).
Agrapp,Chile,Sí,Agrapp, Gestión,Dentro ,Monitoreo y Gestión Integrada de la Producción,Aplicación ,Interpersonal,Productor,General,Pago,Productor ↔ Contenido/Plataforma,Privada,Startup,Espanhol,Sí,No,Transformación Digital,Accesible a Terceros,https://www.agrapp.cl/,"Es un cuaderno de campo digital que permite registrar información en terreno, trabajar sin conexión y generar reportes de forma simple y eficiente para la gestión agrícola."
AgroMatch,Chile,Sí,AgroMatch, Gestión,Antes ,Economía Compartida,Website,Interpersonal,Productor,General,Pago,Productor ↔ Productor,Privada,Startup,Espanhol,No,Sí,Digitalización,Accesible a Terceros,https://agromatch.cl/,AgroMatch es una plataforma que permite conectar a dueños de maquinaria o servicios con agricultores que busquen arrendar estas máquinas o servicios.
AGRI,Chile,Sí,TCIT Cloud Solutions , Gestión,Dentro ,Monitoreo y Gestión Integrada de la Producción,Website,Interpersonal,Productor,General,Pago,Productor ↔ Contenido/Plataforma,Privada,Startup,Espanhol,No,Sí,Digitalización,Accesible a Terceros,https://www.agri.cl/,"Plataforma de gestión que unifica los procesos administrativos y de producción de las empresas agrícolas. Sus módulos clave incluyen control de costos y presupuesto, gestión de tareas y cosechas, compras e inventario"
Agrosmart,Chile,Sí,Agrosmart, Gestión,Dentro ,Monitoreo y Gestión Integrada de la Producción,Website,Interpersonal,Productor,General,Pago,Productor ↔ Contenido/Plataforma,Privada,Startup,Espanhol,No,Sí,Digitalización,Accesible a Terceros,https://agrosmart.cl/,"Plataforma de gestión agrícola de software como servicio (SaaS) y un cuaderno de campo inteligente, diseñado desde la lógica del agricultor. Abarca las áreas administrativas, de producción, operativas y financieras, con el objetivo de aumentar la eficiencia y la competitividad."
Comes,Chile,Sí,Comes,Comercialización,Después,Tienda en Línea (E-commerce) y Plataformas de Marketplace,Website,Interpersonal,Productor,General,Pago (con comisión),Productor ↔ Contenido/Plataforma,Privada,Startup,Espanhol,No,Sí,Digitalización,Accesible a Terceros,https://www.comes.cl/,Busca fomentar un sistema de alimentación más sustentable conectando productores locales con comercios de alimentación.
Fichas Técnicas,Chile,No,INDAP, Orientación Técnica,Dentro ,"Contenido, Educación y Red Social",Website,Medios de masa,Productor,General,Gratuito,Productor ↔ Contenido/Plataforma,Pública,Empresa de ATER / Servicio Público de Extensión,Espanhol,No,Sí,Digitalización,Accesible a Terceros,https://www.indap.gob.cl/fichas-tecnicas,"Materiales en línea de apoyo orientados a la Agricultura Familiar Campesina, que reúnen información técnica estandarizada por región y cultivo. Disponibles para consulta y descarga en formato Excel, las fichas presentan orientaciones productivas, insumos, manejos y referencias técnicas para distintos rubros agrícolas."
FarmerChat,Internacional,Sí,Digital Green, Orientación Técnica,Dentro ,Consultoría & Asistencia Técnica,Aplicación,Interpersonal,Extensionista,General,Pago,Productor ↔ Extensionista,Privada,Startup,Multilingüe,Sí,Sí,Transformación Digital,Accesible a Terceros,https://digitalgreen.org/farmer-chat/,"La aplicación ofrece asistencia técnica digital para agricultores, permitiendo consultas por texto, audio o imágenes, con atención en idiomas locales. Utiliza inteligencia artificial para diagnosticar problemas en los cultivos y envía alertas oportunas sobre clima, plagas y precios de mercado, apoyando la toma de decisiones productivas."
Paddy,Internacional,Sí,Precision Development (PxD) , Orientación Técnica,Dentro ,Consultoría & Asistencia Técnica,Aplicación,Interpersonal,Extensionista,General,Pago,Productor ↔ Extensionista,Privada,Startup,Multilingüe,Sí,No,Transformación Digital,Accesible a Terceros,https://precisiondev.org/about-us/technology/,"Plataforma digital de comunicación multicanal que permite el envío y la recepción de mensajes a través de SMS, llamadas de voz, WhatsApp y otras aplicaciones de mensajería, alcanzando a usuarios con distintos niveles de conectividad y alfabetización digital. Además, ofrece contenidos personalizados, con recomendaciones adaptadas al perfil del usuario."
Plantix,Internacional,Sí,Plantix, Orientación Técnica,Dentro ,Diagnóstico e Identificación por Imagen,Aplicación,Interpersonal,Productor,General,Gratuito,Productor ↔ Contenido/Plataforma,Privada,Startup,Multilingüe,No,Sí,Transformación Digital,Accesible a Terceros,https://plantix.net/en/,"Utiliza reconocimiento de imágenes con inteligencia artificial para diagnosticar plagas, enfermedades y deficiencias de nutrientes a partir de la foto de una planta enferma"
Yara CheckIT,Internacional,No,Yara, Orientación Técnica,Dentro ,"Fertilizantes, inoculantes y nutrientes",Aplicación,Interpersonal,Productor,"Específica (Patatas, trigo, cebada, maíz, frijoles, colza)",Gratuito,Productor ↔ Contenido/Plataforma,Privada,Sector Privado,Multilingüe,No,Sí,Digitalización,Accesible a Terceros,https://platform.nutri-checknet.eu/available_products_and_tools/104/yara-checkit,"Aplicación agrícola que ofrece a los agricultores una biblioteca fotográfica de los cultivos, lo que permite la identificación simple y rápida de posibles deficiencias de nutrientes."
Control Ganadero ,Internacional,No,Control Ganadero, Orientación Técnica,Dentro ,Monitoreo y Gestión Integrada de la Producción,Aplicación,Interpersonal,Productor,Específica (bovinos),Freemium,Productor ↔ Contenido/Plataforma,Privada,Startup,Multilingüe,No,Sí,Transformación Digital,Accesible a Terceros,https://www.controlganadero.app/,"Aplicación de gestión ganadera que permite a los productores realizar un seguimiento completo del ciclo de vida de su hato, incluyendo registros de animales, producción (carne y leche), tratamientos sanitarios, nacimientos y venta"
VacApp,Internacional,No,VacApp, Gestión,Antes ,Nutrición y Salud Animal,Aplicación,Interpersonal,Productor,Específica (bovinos),Pago,Productor ↔ Contenido/Plataforma,Privada,Startup,Multilingüe,No,No,Digitalización,Accesible a Terceros,https://vacapp.net/es/#overview,"Aplicación de gestión diseñada específicamente para la ganadería extensiva (bovinos, caballos, ovejas y cabras). "
AGvisorPRO,Internacional,No,AGvisorPRO, Orientación Técnica,Dentro ,"Contenido, Educación y Red Social",Website,Medios de masa,Ambos,General,Gratuito,Productor ↔ Extensionista,Privada,Sector Privado,Multilingüe,Sí,Sí,Digitalización,Accesible a Terceros,https://getagvisorpro.com/about-agvisorpro-answers-now/#popup-menu-anchor,Es una plataforma global que conecta a productores rurales con especialistas en agricultura para resolver dudas y encontrar soluciones en tiempo real.
Lazos,Internacional,No,FAO,Comunicación,Dentro ,"Contenido, Educación y Red Social",Aplicación,Medios de masa,Productor,Específica (algodón),Gratuito,Productor ↔ Productor,Organismo Internacional,Organización Internacional,Multilingüe,No,No,Digitalización,Accesible a Terceros,https://play.google.com/store/apps/details?id=org.csslazos.lazos; https://apps.apple.com/br/app/lazos-con%C3%A9ctate-rural/id1659671550,"Red social que conecta al sector algodonero —productores, organizaciones rurales, instituciones, empresas, academia, establecimientos educativos, entre otros—. En la app se comparten noticias, eventos y otros contenidos, y cuenta con comunidades virtuales organizadas en torno a temas específicos (algodón agroecológico, seguridad alimentaria, certificación del algodón, mercados, semillas, etc.)."
Access Agriculture (Bélgica),Internacional,No,Access Agriculture,Aprendizaje,Dentro ,"Contenido, Educación y Red Social",Website + Aplicación,Medios de masa,Productor,General,Gratuito,Productor ↔ Contenido/Plataforma,Sociedad Civil Organizada,ONG / OSC,Multilingüe,No,No,Digitalización,Accesible a Terceros,https://www.accessagriculture.org/our-mission,Construir una plataforma de video de acceso abierto que contenga el recurso más grande del mundo de videos de capacitación multilingües con calidad de transmisión sobre principios agroecológicos y emprendimiento rural que combinen el conocimiento científico e indígena.
AcroSeeker™ (Japón),Internacional,No,"Nihon Nohyaku Co., Ltd. y 
NTT DATA CCS CORPORATION", Orientación Técnica,Dentro ,"Manejo y Control de Plagas (Biológico, Natural y Químico)",Aplicación,Medios de masa,Productor,General,Gratuito,Productor ↔ Contenido/Plataforma,Privada,Startup,Multilingüe,No,Sí,Transformación Digital,Accesible a Terceros,https://play.google.com/store/apps/details?id=com.nichino.ai.diagnosis&hl=pt_BR,". El “AcroSeeker™” es una herramienta que utiliza inteligencia artificial para ayudar a diagnosticar doenças, pragas y ervas daninhas que afetam sus plantasções, además de fornecer informações sobre pesticidas eficaces para eliminarlas. Use su dispositivo para fotografiar los daños causados ​​por doenças, pragas ou ervas daninhas em sua lavoura e, em seguida, toque no botão Diagnóstico por IA para diagnosticá-las"
AgriAssist (Australia),Internacional,No,Niranjan Somashekar, Gestión,Dentro ,Monitoreo y Gestión Integrada de la Producción,Aplicación,Medios de masa,Productor,General,Pago,Productor ↔ Contenido/Plataforma,Privada,Sector Privado,Multilingüe,No,No,Transformación Digital,Accesible a Terceros,https://play.google.com/store/apps/details?id=app.agriassist.com,"AgriAssist: aplicación agrícola con inteligencia artificial y funcionamiento sin conexión. Desenvolvido para agricultores en áreas rurales y con baja conectividad, o AgriAssist combina conhecimento especializado, herramientas de IA y recursos prácticos de planificación. plicativo simple y multilíngueGuías, calculadoras y registros"
Agriconecta (Panama),Internacional,No,Tri-Star Trading Group SA,Comercialización,Después,Tienda en Línea (E-commerce) y Plataformas de Marketplace,Aplicación,Medios de masa,Productor,General,Gratuito,Productor ↔ Contenido/Plataforma,Privada,Sector Privado,Espanhol,No,Sí,Digitalización,Accesible a Terceros,https://play.google.com/store/apps/details?id=com.agriconecta.agcta_smallholder_farmer; https://apps.apple.com/us/app/agriconecta/id1514667580,"AgriConecta es una aplicación gratuita que permite al agricultor estar conectado a la agricultura moderna. Por medio de la plataforma, es posible mantener contacto directo con su técnico y realizar consultas de forma práctica en su aplicación, además de acompañar información climática para proteger y planificar mejor el manejo de su trabajo."
Agrimaps (Espanâ),Internacional,No,"Infonet Consultores Informaticos Sl
", Orientación Técnica,Dentro ,Monitoreo y Gestión Integrada de la Producción,Aplicación,Medios de masa,Productor,General,Pago,Productor ↔ Contenido/Plataforma,Privada,Sector Privado,Espanhol,No,Sí,Transformación Digital,Accesible a Terceros,"https://agrimaps.es/
https://play.google.com/store/apps/details?id=com.infonetconsultores.agrimapscross; https://apps.apple.com/us/app/agrimaps/id1671973281","Caderno de campo de forma visual, fácil y ágil a partir del registro de tratamientos y operaciones técnicas, permitiendo geolocalizar incidentes, realizar el control y el monitoreo de pragas, acompañar los estados fenológicos de las culturas, monitorear operaciones técnicas, estudiar mapas y recibir alertas de Alternaria, apoyando una gestión más eficiente de lavoura."
Agrio – diagnóstico de plantas (Israel),Internacional,Sí,Saillog Ltd, Orientación Técnica,Dentro ,Diagnóstico e Identificación por Imagen,Aplicación,Medios de masa,Productor,General,Pago,Productor ↔ Contenido/Plataforma,Privada,Sector Privado,Inglês,No,Sí,Transformación Digital,Accesible a Terceros,https://apps.apple.com/us/app/agrio-plant-diagnosis-app/id1239193220;https://play.google.com/store/apps/details?id=com.agrio,"A Agrio es una herramienta de agricultura de precisión que utiliza inteligencia artificial para ayudar a los agricultores y técnicos a acompañar las labores. Una solución permite identificar y orientar el manejo de doenças y pragas de forma remota, contribuyendo para decisiones más rápidas y adecuadas no día a día de producción. Por medio de algoritmos de inteligencia artificial y visión computacional, a Agrio auxilia no monitoramento das culturas y no use mais eficiente dos recursos, com foco em melhorar a produtividade e a sustentabilidade dos sistemas produtivos."
Agrobio Efectos Secundarios,Internacional,No,"AGROBIO SL
", Orientación Técnica,Antes ,"Manejo y Control de Plagas (Biológico, Natural y Químico)",Aplicación,Medios de masa,Productor,General,Gratuito,Productor ↔ Contenido/Plataforma,Privada,Sector Privado,Multilingüe,No,No,Digitalización,Accesible a Terceros,"https://www.agrobio.es/
https://play.google.com/store/apps/details?id=com.agrobio.efectos","Manual de efectos colaterais para o uso integrado de pesticidas y organismos de control biológico o polinizadores na horticultura. La aplicación está traducida al holandés, inglés, alemán y español."
Agrokeep (Grécia),Internacional,No,Teslinskiy, Gestión,Dentro ,"Meteorología, Clima e Irrigación",Aplicación,Medios de masa,Productor,General,Gratuito,Productor ↔ Contenido/Plataforma,Privada,Sector Privado,Grego,No,Si,Digitalización,Accesible a Terceros,https://play.google.com/store/apps/details?id=com.agrokeep.Agrokeep,"Aplicativo móvil que permite acceder a datos meteorológicos de estações y a previsões agronômicas, apoiando o planejamento das atividades agrícolas. A ferramenta possibilita acompanhar as condições climáticas, consultar previsões, estimar a probabilidade de geadas, calcular o momento mais adecuado para o uso de pesticidas e estimar graus-dia e unidades térmicas relacionadas al desenvolvimento de insectos, contribuyendo para una toma de decisión más informada no manejo das lavouras."
Educativa CropLife (Colombia),Internacional,No,CropLife Latin America,Aprendizaje,Dentro ,"Contenido, Educación y Red Social",Aplicación,Medios de masa,Productor,General,Gratuito,Productor ↔ Contenido/Plataforma,Organismo Internacional,Asociación,Multilingüe,No,Si,Digitalización,Accesible a Terceros,"https://cursos.croplifela.org/pt/ 
https://play.google.com/store/apps/details?id=com.cursos_croplifela","La aplicación educativa de CropLife Latin America es una plataforma de aprendizaje voltada à capacitação em temas relacionados con el manejo y las tecnologías de control de Praga. Reúne cursos gratuitos en español, inglés y portugués, además de vídeos y palestras, lo que permite acceder a contenidos de forma flexible, por teléfono celular, en diferentes momentos y ubicaciones. La aplicación también permite la realización de pruebas de conocimiento y el acompañamiento de la formación, apoyando procesos de capacitación y certificación de forma accesoria."
BayAgri Plus (Alemania),Internacional,No,Bayer AG,Aprendizaje,Antes ,"Manejo y Control de Plagas (Biológico, Natural y Químico)",Aplicación,Medios de masa,Productor,General,Gratuito,Productor ↔ Contenido/Plataforma,Privada,Sector Privado,Inglês,No,Si,Digitalización,Accesible a Terceros,https://apps.apple.com/us/app/bayagri-plus/id6450846659; https://play.google.com/store/apps/details?id=com.bayer.vegetablesbybayer,"Aplicativo que apoia a escolha de insumos agrícolas, reuniendo información y experiencias compartidas por productores, distribuidores y otros actores del sector. La herramienta ayuda a considerar diferentes contextos regionales en la selección de productos para su trabajo."
Biofertilizando (Colombia),Internacional,No,Corporacion Colombiana de Investigacion Agropecuaria Agrosavia,Aprendizaje,Dentro ,"Contenido, Educación y Red Social",Aplicación,Medios de masa,Productor,General,Gratuito,Productor ↔ Contenido/Plataforma,Pública,Ministerio / Gobierno Federal,Espanhol,No,Si,Digitalización,Accesible a Terceros,https://play.google.com/store/apps/details?id=com.mifinca,"La biofertilización es un juego que permite aprender conceptos básicos sobre bioinsumos y biofertilizantes en particular, en el contexto de una agricultura sustentable adaptada a las mudanzas climáticas. Embora seja destinado a todas las idades, é especialmente dirigido aos jovens das comunidades rurales. El objetivo central es conseguir una mejor producción de safra en el respectivo campo de cada jugador; Através de la resolución de desafíos didácticos. La misión integra la obtención de recompensas, la adquisición de recursos de diferentes valores, las estrategias de productividad, la prevención y el combate a las amenazas, la toma de decisiones, la colaboración y el cuidado del campo."
